title,overview,vote_average
Betrayed by Innocence,A married commercial filmmaker (Barry Bostwick) is charged with statutory rape when it is revealed that his lover (Cristen Kaufman) is only 16.,5.5
Pink Feathers,"Richard Rhodes, AKA Cookie MonStar, has been in the drag industry for 21 years. This Documentary follows the highs and lows of his successes and failures. It focuses on following your dreams, what it is to be a man and the pressures of life within the industry. This is an insight into the entertainment industry; shows you the underground and commercial drag scenes; asks you what it is to dream and inspires you to question yourself and your beliefs.",8.0
The Enigmatic Element,"Three ""astronauts"" wander through the snowy, silent and imposing mountains. Within this short film, the landscape becomes material for experimentation: with its textures, its colors and the images' tempos. In just forty minutes, the director of Murder Me, Monster constructs a fascinating existentialist piece that transforms the screen into a canvas; and the earth into a sort of frozen planet.",6.5
The Sea,"The story of Ana and Diego, a couple who decide to go live on the coast in Chile. There, they meet Vicente, with whom Diego secretly begins a relationship. Ana, for her part, must decide if she wants to open up to a relationship that deconstructs the traditional ways of relating affectively.",4.5
Under the Debris,"""Under the Debris"" is a short photography film about waiting for the unknown and being trapped in the fear of losing loved ones, derived from the earthquake happened near the eastern border of Turkey in February, 2023",0.0
The Big Bounce,"A Vietnam veteran and ex-con is persuaded by a shady woman to rob a $50,000 payroll account on a California produce farm. But who is playing who?",4.9
Ferrari,"Set during the summer of 1957. Ex-racecar driver, Enzo Ferrari, is in crisis. Bankruptcy stalks the company he and his wife, Laura, built from nothing ten years earlier. Their tempestuous marriage struggles with the mourning for one son and the acknowledgement of another.",6.369
Weapons,"Weapons presents a series of brutal, seemingly random youth-related killings over the course of a weekend in a typical small town in America, and tragically reveals how they are all interrelated.",4.6
Khaad,"A group of tourists try to survive after their bus meets with a terrible accident, falling off a cliff into an abyss.",5.8
The Writing on the Wall,"""In this half-hour documentary, Producer Sandra King provides an intimate portrait of a public phenomenon: Graffiti. Over an 18 month period, King and her crew followed the teenage members of a graffiti 'crew,' Vandals on the Street, as they painted and rapped and moved through the streets of downtown Newark. What emerges is a unique glimpse behind the 'tags' at the kind of inner city kids who write on walls, but who also make art; who create out of wedlock children, but who also form binding relationships; who drop out of school and never read a book, but who create their own brand of poetry through the medium of 'rap.'",7.0
Ang Kapitbahay,"Paula and Edmund are peacefully married until she meets Nicanor, a composer who happens to be their neighbor. Edmund feels troubled after seeing Paula seeing interest in Nicanor. Could it be that Nicanor is the man who will destroy their lives?",2.0
Clay Zombies,"After a scientist accidentally starts the Claypocalpyse, Kilntown, Ohio is overwhelmed with Clay Zombies. As a plethora of memorable characters try to survive, only one thing is certain. If you touch the clay, you're gonna have a bad day.",0.0
Clones,"In the far future, a professor of quantum physics is about to undergo surgery to remove his brain tumor, and is offered a backup of his brain for safety reasons.",6.0
Calling the Ghosts,Movie about tortured and humiliated women in concentration camps in Bosnia and Herzegovina.,0.0
Autotytöt,Underaged girls hitch-hike across Finland.,0.0
A Walk Among the Tombstones,Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.,6.3
Wheeler,"The story of an aspiring musician from Kaufman, Texas who travels to Nashville with the lifelong dream of trying his hand at country music. By embodying the title character under prosthetic make up, actor Stephen Dorff successfully infiltrates Music City and takes his character on an authentic singer / songwriter journey. With the help of key allies on the ground, ""Wheeler"" converses with real people in real locations, with every musical number performed live. The line between reality and fiction blurs as Wheeler chases his dream in this touching tribute to old school country legends.",6.8
The Footballest,"Francisco and his closest friends play on a soccer team that has reached its lowest point. They’ve got to win one of the next three games to keep the school from cutting their team altogether. A series of strange events take place in the first two games. Coincidence? Conspiracy? Francisco and his friends decide to create The Footballest, an investigative team that will get them into all kinds of adventures, where their ingenuity and their friendships will be put to the test.",5.8
Spirit of a Denture,"Dr. Middling is a dentist longing for adventure, while his ""saucy wench"" of an assistant tries to take him out for drinks. He finally finds his adventure when a pirate named Jasper Crow comes complaining of tooth pain. Afraid of needles, Dr. Middling resorts to irrational measures to help ease the pain. After he completes his job, Crow leaves, leaving Dr. Middling yearning of adventure satisfied and decides to go out for drinks- only to find out he has a lot more patients to treat.",5.727
A Christmas Witness,"A no-nonsense federal marshal is tasked with protecting a low-level, charming mobster until he testifies against his mafia boss two days after Christmas.",4.0
Something the Lord Made,A dramatization of the relationship between heart surgery pioneers Alfred Blalock and Vivien Thomas.,7.9
Musik ist Trumpf,"The young musician Ralph Osterwalder, born in Bern in 1922, is tired of working in a big band. He dreams of a small, flexible ensemble. In 1944, he founded his own combo in a hotel room. In 1949, fierce disputes arose. The newly founded Hazy Osterwald Sextet, featuring Sunny Lang, Dennis Armitage, Curti Prina, Werner Dies, and Johnny Ward, soon made international music history. Fast-paced, catchy music, interspersed with humorous show interludes, became the band's unmistakable trademark.",3.0
Peppermint,"With the sweet taste of love's first kiss in his mouth, an engineer takes a trip down memory lane after receiving an invitation from an old friend. Thirty years after that innocent peck on the lips, fate reunites two estranged soulmates.",7.0
